"Sex","Race/Ethnicity","Age Group","First Year","Last Year","Cause of Injury","Age in Years","Year","Injuries","Population","records","cv"
"F","A","All","2001","2017","Assault Other Specified","15","2015","21","2,076,664","1","1"
"F","W","All","2001","2017","Assault Other Specified","15","2015","0","1,144,204",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2015","21","347,210","1","1"
"F","H","All","2001","2017","Assault Other Specified","15","2015","0","449,875",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2015","0","135,375",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2016","84","2,056,858","1","1"
"F","W","All","2001","2017","Assault Other Specified","15","2016","0","1,123,337",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2016","84","339,931","1","1"
"F","H","All","2001","2017","Assault Other Specified","15","2016","0","454,637",".","0"
"F","O","All","2001","2017","Assault Other Specified","15","2016","0","138,953",".","0"
"F","A","All","2001","2017","Assault Other Specified","15","2017","147","2,015,751","2","0.844"
"F","W","All","2001","2017","Assault Other Specified","15","2017","0","1,092,458",".","0"
"F","B","All","2001","2017","Assault Other Specified","15","2017","121","331,297","1","1"
"F","H","All","2001","2017","Assault Other Specified","15","2017","26","454,597","1","1"
"F","O","All","2001","2017","Assault Other Specified","15","2017","0","137,399",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2001","37","1,992,853","2","0.752"
"F","W","All","2001","2017","Assault Other Specified","16","2001","0","1,284,896",".","0"
"F","B","All","2001","2017","Assault Other Specified","16","2001","0","313,664",".","0"
"F","H","All","2001","2017","Assault Other Specified","16","2001","37","290,127","2","0.752"
"F","O","All","2001","2017","Assault Other Specified","16","2001","0","104,166",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2002","228","2,004,322","2","0.695"
"F","W","All","2001","2017","Assault Other Specified","16","2002","111","1,278,871","1","1"
"F","B","All","2001","2017","Assault Other Specified","16","2002","0","319,623",".","0"
"F","H","All","2001","2017","Assault Other Specified","16","2002","0","300,004",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2002","117","105,824","1","1"
"F","A","All","2001","2017","Assault Other Specified","16","2003","35","2,012,581","2","0.775"
"F","W","All","2001","2017","Assault Other Specified","16","2003","10","1,268,027","1","1"
"F","B","All","2001","2017","Assault Other Specified","16","2003","25","326,327","1","1"
"F","H","All","2001","2017","Assault Other Specified","16","2003","0","311,777",".","0"
"F","O","All","2001","2017","Assault Other Specified","16","2003","0","106,450",".","0"
"F","A","All","2001","2017","Assault Other Specified","16","2004","252","2,048,548","8","0.608"
"F","W","All","2001","2017","Assault Other Specified","16","2004","175","1,273,061","3","0.83"
"F","B","All","2001","2017","Assault Other Specified","16","2004","43","337,955","3","0.709"
